collectionName,phoneName,millisSinceGpsEpoch,constellationType,svid,signalType,receivedSvTimeInGpsNanos,xSatPosM,ySatPosM,zSatPosM,xSatVelMps,ySatVelMps,zSatVelMps,satClkBiasM,satClkDriftMps,rawPrM,rawPrUncM,isrbM,ionoDelayM,tropoDelayM
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,24,GLO_G1,1.27353E+18,-25399659.13,-692200.024,-2273310.197,-324.83,156.16,3559.866,-468.083,0.001,23793812.14,10.493,1144.326,10.863,16.51
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,13,GAL_E1,1.27353E+18,-5195415.489,-17417868.63,23363324.46,2239.614,700.512,1021.296,120171.076,0,23522941.26,1.799,-220.611,3.947,2.723
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,5,GPS_L1,1.27353E+18,-2179211.526,-26155714.47,-3431436.187,325.489,-418.974,3129.16,-3793.068,-0.001,23051148.87,4.197,0,7.552,5.707
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,15,GAL_E1,1.27353E+18,16359035.57,-10477201.83,22341943.55,2172.244,561.548,-1326.688,259937.285,0,26998128.54,6.296,-220.611,7.969,9.146
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,21,GAL_E1,1.27353E+18,-14841267.95,-21112386.46,14491381.59,-426.203,-1395.126,-2468.238,-179555.992,-0.001,23491428.28,2.398,-220.611,3.834,2.549
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,24,GPS_L5,1.27353E+18,-21924855.21,-14993488.8,-3444357.832,513.941,-81.491,-3057.957,-3909.922,0.001,23185801.86,0.899,-2352.838,13.113,5.316
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,22,GLO_G1,1.27353E+18,-3202905.76,-10498854.58,23015685.88,3150.747,209.201,545.336,-377.066,-0.001,20147678.11,4.797,1144.326,4.295,3.145
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,27,GAL_E1,1.27353E+18,-4073635.175,-29056028.37,-3931542.053,-28.279,411.755,-3013.528,65954.426,-0.002,25925441.74,3.598,-220.611,7.113,5.183
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,26,GAL_E5A,1.27353E+18,-23862737.48,-14193459.5,10259835.63,953.89,405.383,2780.251,956094.924,-0.013,23271023.86,0.899,-2350.136,8.246,3.112
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,19,GPS_L1,1.27353E+18,15899023.72,-16101000.72,13591948.32,1713.452,-490.731,-2531.636,-47596.188,0.001,24128295.08,7.195,0,8.528,9.855
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,11,GLO_G1,1.27353E+18,-7452114.283,-22876610.37,-8389565.917,428.063,1076.038,-3314.049,-7070.759,0,22763006.95,3.298,1144.326,8.847,7.975
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,33,GAL_E1,1.27353E+18,-28314179.52,-2624091.983,-8193829.998,-830.317,-94.571,2898.779,-140086.163,0,28500683.24,11.992,-220.611,12.4,26.397
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,25,GPS_L1,1.27353E+18,-14683612.99,-4375763.031,21478514.85,145.792,-2776.555,-434.911,1223.261,0,21314016.77,1.499,0,4.776,3.37
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,13,GLO_G1,1.27353E+18,-13643863.78,-4201472.431,21118921.07,-1428.279,-2520.935,-1423.24,-11599.23,0,20456479.93,4.797,1144.326,4.653,3.399
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,29,GPS_L1,1.27353E+18,-23788542.3,2020297.414,11618705.57,1284.248,-750.751,2747.263,-31296.714,-0.003,23379475.88,3.598,0,7.6,6.202
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,2,GPS_L1,1.27353E+18,-5499178.468,-18252226.5,19158289.64,2080.652,985.182,1583.995,-136679.896,0,21037034.02,1.799,0,3.863,2.633
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,6,GPS_L1,1.27353E+18,6169382.793,-13582148.14,22025018.29,2358.211,1469.263,250.491,-81411.411,-0.002,22328863.7,2.099,0,5.502,4.104
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,13,GAL_E5A,1.27353E+18,-5195415.473,-17417868.63,23363324.46,2239.614,700.512,1021.296,120171.432,0,23520810.63,0.6,-2350.136,7.077,2.723
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,12,GPS_L1,1.27353E+18,-10897392.33,-15292523.24,18612521.36,383.507,-2374.605,-1689.43,35345.035,-0.002,20113851.32,5.696,0,3.783,2.545
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,21,GLO_G1,1.27353E+18,16175291.57,-7446163.643,18251834.67,2508.03,-18.675,-2231.671,-37332.65,-0.001,23981454.64,13.79,1144.326,8.554,19.259
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,23,GLO_G1,1.27353E+18,-22040893.06,-6238854.338,11205311.3,1524.858,297.376,3162.374,91587.539,0.001,20696166.09,8.094,1144.326,5.199,3.73
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,26,GAL_E1,1.27353E+18,-23862737.49,-14193459.5,10259835.61,953.89,405.383,2780.251,956095.862,-0.013,23273140.99,3.897,-220.611,4.598,3.112
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,24,GPS_L1,1.27353E+18,-21924855.21,-14993488.8,-3444357.808,513.941,-81.491,-3057.957,-3909.257,0.001,23188156.43,4.797,0,7.312,5.316
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,12,GLO_G1,1.27353E+18,-14568161.25,-19203781.02,8401142.534,-672.591,-941.418,-3325.669,39203.244,0.001,19554772.57,2.998,1144.326,3.977,2.755
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,1,GAL_E1,1.27353E+18,-16872045.99,-1139380.517,24291157.8,-566.569,-2372.335,-504.702,-256790.038,-0.002,25328739.63,2.398,-220.611,5.338,3.851
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,27,GAL_E5A,1.27353E+18,-4073635.175,-29056028.37,-3931542.074,-28.279,411.755,-3013.528,65954.321,-0.002,25923313.82,1.499,-2350.136,12.755,5.183
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,15,GAL_E5A,1.27353E+18,16359035.59,-10477201.82,22341943.55,2172.244,561.548,-1326.688,259936.149,0,26996015,2.698,-2350.136,14.29,9.146
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,6,GPS_L5,1.27353E+18,6169382.811,-13582148.13,22025018.3,2358.211,1469.263,250.491,-81412.407,-0.002,22326519.92,2.698,-2352.838,9.866,4.104
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,21,GAL_E5A,1.27353E+18,-14841267.95,-21112386.47,14491381.57,-426.203,-1395.126,-2468.238,-179556.149,-0.001,23489304.25,1.499,-2350.136,6.875,2.549
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,24,GLO_G1,1.27353E+18,-25399983.71,-692043.834,-2269750.297,-324.333,156.221,3559.921,-468.082,0.001,23793256.02,8.094,1150.846,10.862,16.5
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,13,GAL_E1,1.27353E+18,-5193175.799,-17417168.2,23364345.57,2239.768,700.36,1020.937,120171.076,0,23523155.91,1.799,-222.67,3.947,2.723
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,5,GPS_L1,1.27353E+18,-2178886.05,-26156133.26,-3428306.984,325.463,-418.598,3129.234,-3793.069,-0.001,23050563.08,4.797,0,7.551,5.706
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,15,GAL_E1,1.27353E+18,16361207.77,-10476640.39,22340616.7,2172.162,561.336,-1327.031,259937.285,0,26998614.2,10.493,-222.67,7.969,9.149
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,21,GAL_E1,1.27353E+18,-14841694.18,-21113781.45,14488913.24,-426.257,-1394.852,-2468.461,-179555.993,-0.001,23491529.6,2.398,-222.67,3.834,2.549
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,24,GPS_L5,1.27353E+18,-21924341.1,-14993570.21,-3447415.748,514.267,-81.335,-3057.886,-3909.921,0.001,23186374.46,0.899,-2355.053,13.115,5.317
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,22,GLO_G1,1.27353E+18,-3199754.973,-10498645.51,23016230.94,3150.837,208.938,544.782,-377.067,-0.001,20148053.15,3.897,1150.846,4.295,3.145
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,27,GAL_E1,1.27353E+18,-4073663.403,-29055616.47,-3934555.544,-28.178,412.051,-3013.467,65954.423,-0.002,25925955.89,3.598,-222.67,7.113,5.184
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,26,GAL_E5A,1.27353E+18,-23861783.44,-14193054.12,10262615.8,954.189,405.387,2780.093,956094.911,-0.013,23270758.54,0.899,-2352.09,8.246,3.112
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,19,GPS_L1,1.27353E+18,15900737.01,-16101491.45,13589416.54,1713.121,-490.717,-2531.93,-47596.187,0.001,24128831.11,6.296,0,8.529,9.858
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,11,GLO_G1,1.27353E+18,-7451686.072,-22875534.15,-8392879.856,428.36,1076.405,-3313.847,-7070.76,0,22763822.99,3.298,1150.846,8.848,7.978
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,33,GAL_E1,1.27353E+18,-28315009.7,-2624186.48,-8190931.15,-830.046,-94.423,2898.906,-140086.163,0,28500186.18,11.992,-222.67,12.399,26.377
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,25,GPS_L1,1.27353E+18,-14683467.28,-4378539.565,21478079.71,145.628,-2776.504,-435.377,1223.261,0,21313581.77,1.799,0,4.776,3.37
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,13,GLO_G1,1.27353E+18,-13645292.12,-4203993.226,21117497.58,-1428.391,-2520.648,-1423.748,-11599.23,0,20456032.64,5.696,1150.846,4.652,3.398
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,29,GPS_L1,1.27353E+18,-23787257.92,2019546.551,11621452.72,1284.518,-750.971,2747.016,-31296.717,-0.003,23379033.68,3.598,0,7.6,6.201
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,2,GPS_L1,1.27353E+18,-5497097.704,-18251241.34,19159873.44,2080.878,985.15,1583.608,-136679.896,0,21037262.76,1.799,0,3.863,2.634
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,6,GPS_L1,1.27353E+18,6171741.058,-13580678.95,22025268.55,2358.327,1469.134,250.025,-81411.413,-0.002,22329394.03,2.099,0,5.502,4.104
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,13,GAL_E5A,1.27353E+18,-5193175.783,-17417168.19,23364345.58,2239.768,700.36,1020.937,120171.432,0,23521026.48,0.6,-2352.09,7.077,2.723
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,12,GPS_L1,1.27353E+18,-10897008.91,-15294897.75,18610831.73,383.338,-2374.412,-1689.832,35345.034,-0.002,20113751.79,7.195,0,3.783,2.545
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,21,GLO_G1,1.27353E+18,16177799.44,-7446182.432,18249602.79,2507.724,-18.901,-2232.11,-37332.65,-0.001,23982140.26,10.493,1150.846,8.554,19.274
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,23,GLO_G1,1.27353E+18,-22039367.97,-6238557.014,11208473.54,1525.314,297.271,3162.105,91587.54,0.001,20695845.32,10.493,1150.846,5.198,3.729
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,26,GAL_E1,1.27353E+18,-23861783.45,-14193054.12,10262615.78,954.189,405.387,2780.093,956095.849,-0.013,23272872.38,3.897,-222.67,4.598,3.112
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,24,GPS_L1,1.27353E+18,-21924341.11,-14993570.21,-3447415.724,514.267,-81.335,-3057.886,-3909.257,0.001,23188730.83,4.797,0,7.313,5.317
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,12,GLO_G1,1.27353E+18,-14568833.77,-19204722.2,8397816.768,-672.456,-940.962,-3325.871,39203.245,0.001,19555132.92,2.698,1150.846,3.978,2.756
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,1,GAL_E1,1.27353E+18,-16872612.65,-1141752.807,24290652.91,-566.746,-2372.241,-505.075,-256790.041,-0.002,25328348.1,2.698,-222.67,5.338,3.851
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,27,GAL_E5A,1.27353E+18,-4073663.404,-29055616.47,-3934555.566,-28.178,412.051,-3013.467,65954.319,-0.002,25923824.66,1.499,-2352.09,12.756,5.184
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,15,GAL_E5A,1.27353E+18,16361207.79,-10476640.38,22340616.69,2172.162,561.336,-1327.031,259936.149,0,26996503.96,2.698,-2352.09,14.291,9.149
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,6,GPS_L5,1.27353E+18,6171741.076,-13580678.93,22025268.55,2358.327,1469.134,250.025,-81412.409,-0.002,22327048.76,1.799,-2355.053,9.867,4.104
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,21,GAL_E5A,1.27353E+18,-14841694.18,-21113781.46,14488913.23,-426.257,-1394.852,-2468.461,-179556.15,-0.001,23489404.68,1.499,-2352.09,6.875,2.549
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,3,24,GLO_G1,1.27353E+18,-25400307.8,-691887.583,-2266190.341,-323.835,156.281,3559.975,-468.082,0.001,23792628.86,9.294,1143.076,10.861,16.49
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,13,GAL_E1,1.27353E+18,-5190935.955,-17416467.92,23365366.33,2239.922,700.208,1020.578,120171.076,0,23523368.76,1.799,-224.342,3.947,2.723
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,1,5,GPS_L1,1.27353E+18,-2178560.599,-26156551.67,-3425177.707,325.437,-418.223,3129.307,-3793.069,-0.001,23049964.39,5.096,0,7.55,5.705
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,15,GAL_E1,1.27353E+18,16363379.89,-10476079.16,22339289.5,2172.08,561.125,-1327.374,259937.284,0,26999107.36,8.094,-224.342,7.97,9.152
2020-05-14-US-MTV-1,Pixel4,1.27353E+12,6,21,GAL_E1,1.27353E+18,-14842120.47,-21115176.16,14486444.67,-426.311,-1394.577,-2468.684,-179555.993,-0.001,23491633.63,2.398,-224.342,3.834,2.549
